eall,r,t,Value_emit,Value_scc,product
CO2,p69,2047,831801.485323,298,247876842.626254
CO2,p69,2050,837657.969688,310,259673970.60328
CO2,p70,2010,12604165.382542,150,1890624807.3813
CO2,p70,2015,13711829.249675998,170,2331010972.4449196
CO2,p70,2020,12526264.704399,190,2379990293.83581
CO2,p70,2023,11796576.734004,202,2382908500.268808
CO2,p70,2026,14017109.079502998,214,2999661343.0136414
CO2,p70,2029,7857423.085364,226,1775777617.292264
CO2,p70,2032,3966404.976744,238,944004384.4650719
CO2,p70,2035,1739440.683115,250,434860170.77875
CO2,p70,2038,2239363.571603,262,586713255.759986
CO2,p70,2041,2355770.5432740003,274,645481128.857076
CO2,p70,2044,2758908.397752,286,789047801.757072
CO2,p70,2047,3226286.78214,298,961433461.0777199
CO2,p70,2050,2810547.208467,310,871269634.62477
CO2,p71,2010,40896.986839,150,6134548.02585
CO2,p71,2015,34257.609456000006,170,5823793.607520001
CO2,p71,2020,25403.40054,190,4826646.1026
CO2,p71,2023,25581.223046,202,5167407.055292
CO2,p71,2026,25294.801721,214,5413087.568294
CO2,p71,2029,24379.164621,226,5509691.204346
CO2,p71,2032,21511.143472,238,5119652.1463359995
CO2,p71,2035,21475.731418,250,5368932.854499999
CO2,p71,2038,21208.842389,262,5556716.705918
CO2,p71,2041,19322.19841,274,5294282.36434
CO2,p71,2044,17434.280662999998,286,4986204.269617999
CO2,p71,2047,389569.739497,298,116091782.370106
CO2,p71,2050,546925.909095,310,169547031.81945
CO2,p72,2010,48426153.876925,150,7263923081.53875
CO2,p72,2015,44286447.60166799,170,7528696092.283559
CO2,p72,2020,38670359.756296,190,7347368353.69624
CO2,p72,2023,38257449.734176,202,7728004846.303553
CO2,p72,2026,33735365.489363,214,7219368214.723682
CO2,p72,2029,21206264.690299,226,4792615820.007574
CO2,p72,2032,11900524.636578,238,2832324863.5055637
CO2,p72,2035,2398730.625647,250,599682656.41175
CO2,p72,2038,3931227.1297759996,262,1029981508.0013119
CO2,p72,2041,4550779.793293,274,1246913663.362282
CO2,p72,2044,4397522.572496,286,1257691455.733856
CO2,p72,2047,3013348.401785,298,897977823.73193
CO2,p72,2050,2405116.331005,310,745586062.61155
CO2,p73,2010,3801.695439,150,570254.31585
CO2,p73,2015,8171.5715279999995,170,1389167.15976
CO2,p73,2020,9313.975576,190,1769655.35944
CO2,p73,2023,7709.732064,202,1557365.876928
CO2,p73,2026,7709.732064,214,1649882.661696
CO2,p73,2029,7709.732064,226,1742399.446464
CO2,p73,2032,7709.732064,238,1834916.231232
CO2,p73,2035,7709.732064,250,1927433.016
CO2,p73,2038,7709.732064,262,2019949.8007679998
CO2,p73,2041,7709.732064,274,2112466.585536
CO2,p73,2044,7709.732064,286,2204983.370304
CO2,p73,2047,7709.732064,298,2297500.155072
CO2,p73,2050,7709.732064,310,2390016.93984
CO2,p74,2010,1980390.285255,150,297058542.78824997
CO2,p74,2015,399213.093119,170,67866225.83023
CO2,p74,2020,463987.44969400007,190,88157615.44186002
CO2,p74,2023,98373.462785,202,19871439.48257
CO2,p74,2026,143588.228278,214,30727880.851492
CO2,p74,2029,156128.52062999998,226,35285045.662379995
CO2,p74,2032,119034.759188,238,28330272.686744
CO2,p74,2035,90602.993501,250,22650748.37525
CO2,p74,2038,92771.045166,262,24306013.833492
CO2,p74,2041,90214.83736199999,274,24718865.437187996
CO2,p74,2044,93042.150651,286,26610055.086186
CO2,p74,2047,82676.454612,298,24637583.474376
CO2,p74,2050,82681.005195,310,25631111.610450003
CO2,p75,2010,8463040.956679,150,1269456143.50185
CO2,p75,2015,6937347.471424,170,1179349070.14208
CO2,p75,2020,4386162.844223,190,833370940.40237
CO2,p75,2023,6029924.657743,202,1218044780.8640862
CO2,p75,2026,6319448.922048,214,1352362069.3182719
CO2,p75,2029,5974670.457592,226,1350275523.415792
CO2,p75,2032,798448.2088929999,238,190030673.716534
CO2,p75,2035,484986.42942400003,250,121246607.356
CO2,p75,2038,573590.867054,262,150280807.168148
CO2,p75,2041,787806.722985,274,215859042.09789
CO2,p75,2044,916892.771765,286,262231332.72478998
CO2,p75,2047,946286.9949780001,298,281993524.503444
CO2,p75,2050,988701.004552,310,306497311.41112
CO2,p76,2010,2348080.218933,150,352212032.83995
CO2,p76,2015,3805855.276714,170,646995397.0413799
CO2,p76,2020,3559432.6999,190,676292212.981
CO2,p76,2023,4251000.564548,202,858702114.0386959
CO2,p76,2026,5451313.646099,214,1166581120.265186
CO2,p76,2029,2857317.715013,226,645753803.5929381
CO2,p76,2032,1908508.350446,238,454224987.406148
CO2,p76,2035,1040467.722634,250,260116930.65850002
CO2,p76,2038,1427269.803114,262,373944688.415868
CO2,p76,2041,2702923.332922,274,740600993.220628
CO2,p76,2044,3032947.317013,286,867422932.6657181
CO2,p76,2047,2740083.132366,298,816544773.4450681
CO2,p76,2050,2769259.343315,310,858470396.4276501
CO2,p77,2010,3426112.7545270002,150,513916913.17905
CO2,p77,2015,586285.6940260001,170,99668567.98442002
CO2,p77,2020,192531.494562,190,36580983.96678
CO2,p77,2023,7267.919583,202,1468119.755766
CO2,p77,2026,6516.843567,214,1394604.523338
CO2,p77,2029,286193.22889,226,64679669.729140006
CO2,p77,2032,182651.937662,238,43471161.163556
CO2,p77,2035,105595.57734399999,250,26398894.336
CO2,p77,2038,106285.394198,262,27846773.279875997
CO2,p77,2041,631255.0204950001,274,172963875.61563003
CO2,p77,2044,641078.435499,286,183348432.552714
CO2,p77,2047,831208.85907,298,247700240.00286
CO2,p77,2050,873654.075759,310,270832763.48529
CO2,p78,2010,1212756.171537,150,181913425.73055
CO2,p78,2015,2429014.764776,170,412932510.01192
CO2,p78,2020,5022323.061042001,190,954241381.5979801
CO2,p78,2023,2522833.811884,202,509612430.000568
CO2,p78,2026,3352884.341239,214,717517249.025146
CO2,p78,2029,3265660.953357,226,738039375.458682
CO2,p78,2032,2320571.633417,238,552296048.7532461
CO2,p78,2035,1229518.117456,250,307379529.364
CO2,p78,2038,1346252.5860539998,262,352718177.54614794
CO2,p78,2041,1292697.071702,274,354198997.646348
CO2,p78,2044,1308172.58721,286,374137359.94206
