eall,r,t,Value_emit,Value_scc,product
CH4,p15,2015,202901.785227,1200,243482142.2724
CH4,p15,2020,260084.160358,1600,416134656.5728
CH4,p15,2023,200202.040039,1840,368371753.67176
CH4,p15,2026,204166.17106400002,2080,424665635.81312007
CH4,p15,2029,172266.655712,2320,399658641.25184
CH4,p15,2032,108037.856806,2580,278737670.55948
CH4,p15,2035,96496.43788700001,2850,275014847.97795004
CH4,p15,2038,86336.80934800001,3120,269370845.16576004
CH4,p15,2041,87841.624629,3390,297783107.49231
CH4,p15,2044,141941.150491,3660,519504610.79706
CH4,p15,2047,152113.066444,3930,597804351.12492
CH4,p15,2050,305473.283992,4200,1282987792.7663999
CH4,p16,2015,3.132576,1200,3759.0912
CH4,p16,2020,3.132576,1600,5012.1215999999995
CH4,p16,2023,3.132576,1840,5763.93984
CH4,p16,2026,3.132576,2080,6515.75808
CH4,p16,2029,3.731075,2320,8656.094000000001
CH4,p16,2032,11.92759,2580,30773.1822
CH4,p16,2035,11.411967,2850,32524.10595
CH4,p16,2038,10.041514,3120,31329.52368
CH4,p16,2041,10.062744,3390,34112.70216
CH4,p16,2044,7.921879,3660,28994.077139999998
CH4,p16,2047,7.915297,3930,31107.11721
CH4,p16,2050,6.273087,4200,26346.9654
CH4,p17,2010,4636.651041,800,3709320.8328
CH4,p17,2015,15334.061329,1200,18400873.5948
CH4,p17,2020,23764.018505,1600,38022429.608
CH4,p17,2023,14292.337277,1840,26297900.58968
CH4,p17,2026,12737.046185,2080,26493056.064799998
CH4,p17,2029,15445.656373,2320,35833922.78536
CH4,p17,2032,14730.154471,2580,38003798.53518
CH4,p17,2035,14733.781235,2850,41991276.51975
CH4,p17,2038,14687.344132,3120,45824513.69184
CH4,p17,2041,14691.91471,3390,49805590.8669
CH4,p17,2044,14733.822517,3660,53925790.41222
CH4,p17,2047,14745.269604,3930,57948909.54372
CH4,p17,2050,14718.455441,4200,61817512.8522
CH4,p18,2010,4818.29346,800,3854634.7679999997
CH4,p18,2015,8151.785053,1200,9782142.0636
CH4,p18,2020,13416.701767999999,1600,21466722.8288
CH4,p18,2023,7925.323302999999,1840,14582594.877519999
CH4,p18,2026,7587.216544,2080,15781410.41152
CH4,p18,2029,7249.7441309999995,2320,16819406.38392
CH4,p18,2032,7137.464776,2580,18414659.12208
CH4,p18,2035,16790.0752,2850,47851714.32
CH4,p18,2038,7137.464776,3120,22268890.10112
CH4,p18,2041,15368.326716,3390,52098627.56724
CH4,p18,2044,10568.408791,3660,38680376.17506
CH4,p18,2047,12454.748626999999,3930,48947162.104109995
CH4,p18,2050,11345.881091,4200,47652700.5822
CH4,p2,2010,1022265.867019,800,817812693.6152
CH4,p2,2015,155248.835977,1200,186298603.1724
CH4,p2,2020,1093690.9808470001,1600,1749905569.3552003
CH4,p2,2023,456036.59470699995,1840,839107334.2608799
CH4,p2,2026,915307.258197,2080,1903839097.04976
CH4,p2,2029,1053683.376779,2320,2444545434.12728
CH4,p2,2032,791526.550706,2580,2042138500.8214798
CH4,p2,2035,729527.99869,2850,2079154796.2665
CH4,p2,2038,522043.067068,3120,1628774369.2521598
CH4,p2,2041,544337.865752,3390,1845305364.89928
CH4,p2,2044,362404.969001,3660,1326402186.54366
CH4,p2,2047,379373.959633,3930,1490939661.35769
CH4,p2,2050,442543.047261,4200,1858680798.4962
CH4,p20,2010,1101793.068388,800,881434454.7103999
CH4,p20,2015,167260.588421,1200,200712706.1052
CH4,p20,2020,101398.456459,1600,162237530.3344
CH4,p20,2023,376850.766315,1840,693405410.0196
CH4,p20,2026,462595.46073,2080,962198558.3184
CH4,p20,2029,507016.354385,2320,1176277942.1732001
CH4,p20,2032,583172.7542320001,2580,1504585705.9185603
CH4,p20,2035,604114.584232,2850,1721726565.0612001
CH4,p20,2038,604182.324931,3120,1885048853.78472
CH4,p20,2041,601231.3796270001,3390,2038174376.9355302
CH4,p20,2044,599910.2905700001,3660,2195671663.4862003
CH4,p20,2047,610868.746673,3930,2400714174.42489
CH4,p20,2050,590658.405578,4200,2480765303.4276
CH4,p21,2010,1217974.806484,800,974379845.1872001
CH4,p21,2015,521224.534739,1200,625469441.6868
CH4,p21,2020,573088.100795,1600,916940961.272
CH4,p21,2023,1027653.787909,1840,1890882969.75256
CH4,p21,2026,965538.745483,2080,2008320590.60464
CH4,p21,2029,910113.0577939999,2320,2111462294.08208
CH4,p21,2032,920834.385266,2580,2375752713.98628
CH4,p21,2035,918506.712035,2850,2617744129.29975
CH4,p21,2038,247669.90133700002,3120,772730092.17144
CH4,p21,2041,236608.53165400002,3390,802102922.3070601
CH4,p21,2044,212558.027706,3660,777962381.40396
CH4,p21,2047,210352.19402700002,3930,826684122.52611
CH4,p21,2050,193365.329986,4200,812134385.9412
CH4,p22,2010,2034.373169,800,1627498.5352
CH4,p22,2015,2034.373169,1200,2441247.8028
CH4,p22,2020,2034.373169,1600,3254997.0704
CH4,p22,2023,1264.151045,1840,2326037.9228000003
CH4,p22,2026,1126.47433,2080,2343066.6064
CH4,p22,2029,989.267501,2320,2295100.60232
CH4,p22,2032,632.508867,2580,1631872.87686
CH4,p22,2035,705.786774,2850,2011492.3059
CH4,p22,2038,645.469583,3120,2013865.0989599999
CH4,p22,2041,658.997812,3390,2234002.58268
CH4,p22,2044,662.861696,3660,2426073.80736
CH4,p22,2047,672.256299,3930,2641967.25507
CH4,p22,2050,672.256299,4200,2823476.4558
CH4,p23,2010,220139.01876,800,176111215.00800002
CH4,p23,2015,44287.278749000005,1200,53144734.4988
CH4,p23,2020,44287.278749000005,1600,70859645.9984
CH4,p23,2023,43710.356261,1840,80427055.52024001
CH4,p23,2026,43224.206270999995,2080,89906349.04368
CH4,p23,2029,117794.077242,2320,273282259.20144
CH4,p23,2032,270137.753189,2580,696955403.22762
CH4,p23,2035,357180.389942,2850,1017964111.3347
