r,rr,trtype,t,Value
p10,p11,AC,2010,386627.943285
p10,p11,AC,2015,386627.943285
p10,p11,AC,2020,386627.943285
p10,p11,AC,2023,386627.943285
p10,p11,AC,2026,386627.943285
p10,p11,AC,2029,386627.943285
p10,p11,AC,2032,386627.943285
p10,p11,AC,2035,386627.943285
p10,p11,AC,2038,386627.943285
p10,p11,AC,2041,386627.943285
p10,p11,AC,2044,386627.943285
p10,p11,AC,2047,386627.943285
p10,p11,AC,2050,386627.943285
p10,p13,AC,2010,2265557.948845
p10,p13,AC,2015,2265557.948845
p10,p13,AC,2020,2265557.948845
p10,p13,AC,2023,2265557.948845
p10,p13,AC,2026,2265557.948845
p10,p13,AC,2029,2265557.948845
p10,p13,AC,2032,2265557.948845
p10,p13,AC,2035,2265557.948845
p10,p13,AC,2038,2265557.948845
p10,p13,AC,2041,2265557.948845
p10,p13,AC,2044,2265557.948845
p10,p13,AC,2047,2265557.948845
p10,p13,AC,2050,2265557.948845
p10,p25,LCC,2010,1297344.0
p10,p25,LCC,2015,1297344.0
p10,p25,LCC,2020,1297344.0
p10,p25,LCC,2023,1297344.0
p10,p25,LCC,2026,1297344.0
p10,p25,LCC,2029,1297344.0
p10,p25,LCC,2032,1297344.0
p10,p25,LCC,2035,1297344.0
p10,p25,LCC,2038,1297344.0
p10,p25,LCC,2041,1297344.0
p10,p25,LCC,2044,1297344.0
p10,p25,LCC,2047,1297344.0
p10,p25,LCC,2050,1624505.725798
p10,p27,AC,2010,172468.59795
p10,p27,AC,2015,172468.59795
p10,p27,AC,2020,172468.59795
p10,p27,AC,2023,172468.59795
p10,p27,AC,2026,172468.59795
p10,p27,AC,2029,172468.59795
p10,p27,AC,2032,172468.59795
p10,p27,AC,2035,172468.59795
p10,p27,AC,2038,172468.59795
p10,p27,AC,2041,172468.59795
p10,p27,AC,2044,172468.59795
p10,p27,AC,2047,172468.59795
p10,p27,AC,2050,172468.59795
p10,p28,AC,2010,1761091.523325
p10,p28,AC,2015,1761091.523325
p10,p28,AC,2020,1761091.523325
p10,p28,AC,2023,1761091.523325
p10,p28,AC,2026,1761091.523325
p10,p28,AC,2029,1761091.523325
p10,p28,AC,2032,1761091.523325
p10,p28,AC,2035,1761091.523325
p10,p28,AC,2038,1761091.523325
p10,p28,AC,2041,1761091.523325
p10,p28,AC,2044,1761091.523325
p10,p28,AC,2047,1761091.523325
p10,p28,AC,2050,1761091.523325
p12,p13,AC,2010,429421.716
p12,p13,AC,2015,429421.716
p12,p13,AC,2020,429421.716
p12,p13,AC,2023,429421.716
p12,p13,AC,2026,429421.716
p12,p13,AC,2029,429421.716
p12,p13,AC,2032,429421.716
p12,p13,AC,2035,429421.716
p12,p13,AC,2038,429421.716
p12,p13,AC,2041,429421.716
p12,p13,AC,2044,429421.716
p12,p13,AC,2047,429421.716
