eall,r,t,Value_emit,dr,Value_scc,dtau,Value
CH4,p132,2035,1641340.107094,2.5,2313.0,0.7621447821714413,2112557926.064904
CH4,p132,2035,1641340.107094,2.0,2842.0,0.8042630390932893,2739161865.649312
CH4,p132,2035,1641340.107094,1.5,3673.0,0.848933233223827,3736715007.230076
CH4,p132,2036,1641340.107094,2.5,2391.0,0.7435558850453087,2130535151.7809987
CH4,p132,2036,1641340.107094,2.0,2929.0,0.7884931755816562,2767660548.525216
CH4,p132,2036,1641340.107094,1.5,3774.0,0.836387421895396,3782726147.6132736
CH4,p132,2037,1573824.5899099999,2.5,2468.0,0.7254203756539598,2057255170.9358418
CH4,p132,2037,1573824.5899099999,2.0,3017.0,0.773032525080055,2679947798.006446
CH4,p132,2037,1573824.5899099999,1.5,3875.0,0.8240270166457105,3669158011.323904
CH4,p132,2038,1573824.5899099999,2.5,2546.0,0.7077271957599608,2070510995.4550555
CH4,p132,2038,1573824.5899099999,2.0,3105.0,0.7578750245882894,2704035924.795445
CH4,p132,2038,1573824.5899099999,1.5,3975.0,0.8118492774834588,3708222620.6928377
CH4,p132,2039,1573824.5899099999,2.5,2624.0,0.6904655568389862,2081896366.2077544
CH4,p132,2039,1573824.5899099999,2.0,3193.0,0.7430147299885189,2726149066.2978296
CH4,p132,2039,1573824.5899099999,1.5,4076.0,0.7998515049098116,3746250370.7145047
CH4,p132,2040,2482637.860762,2.5,2702.0,0.67362493350145,3299239197.339176
CH4,p132,2040,2482637.860762,2.0,3280.0,0.7284458137142342,4330932354.484781
CH4,p132,2040,2482637.860762,1.5,4177.0,0.7880310393200115,5966478832.847164
CH4,p132,2041,2482637.860762,2.5,2786.0,0.6571950570745855,3318835335.6274295
CH4,p132,2041,2482637.860762,2.0,3375.0,0.7141625624649355,4368991121.588395
CH4,p132,2041,2482637.860762,1.5,4285.0,0.7763852604138046,6030292983.450329
CH4,p132,2042,2482637.860762,2.5,2871.0,0.641165909341059,3336675099.744839
CH4,p132,2042,2482637.860762,2.0,3471.0,0.700159374965623,4405161418.455576
CH4,p132,2042,2482637.860762,1.5,4394.0,0.7649115866145859,6092304434.481782
CH4,p132,2043,2640749.838814,2.5,2955.0,0.6255277164303016,3563922369.169905
CH4,p132,2043,2640749.838814,2.0,3566.0,0.6864307597702186,4719568220.026146
CH4,p132,2043,2640749.838814,1.5,4502.0,0.7536074744971291,6541462870.067011
CH4,p132,2044,2640749.838814,2.5,3040.0,0.6102709428588309,3577012587.9333134
CH4,p132,2044,2640749.838814,2.0,3661.0,0.6729713331080575,4750293967.403396
CH4,p132,2044,2640749.838814,1.5,4610.0,0.7424704182237725,6599397275.214065
CH4,p132,2045,2640749.838814,2.5,3124.0,0.5953862857159326,3586196188.929291
CH4,p132,2045,2640749.838814,2.0,3756.0,0.6597758167726053,4778000262.857345
CH4,p132,2045,2640749.838814,1.5,4718.0,0.7314979489889384,6654190685.15862
CH4,p132,2046,2338318.493931,2.5,3209.0,0.5808646689911537,3182330445.753045
CH4,p132,2046,2338318.493931,2.0,3851.0,0.6468390360515739,4252754719.0188727
CH4,p132,2046,2338318.493931,1.5,4827.0,0.7206876344718607,5939159170.965353
CH4,p132,2047,2338318.493931,2.5,3293.0,0.56669723804015,3185982764.2878737
CH4,p132,2047,2338318.493931,2.0,3946.0,0.6341559176976214,4272221149.904652
CH4,p132,2047,2338318.493931,1.5,4935.0,0.7100370782973997,5982308159.605916
CH4,p132,2048,2338318.493931,2.5,3378.0,0.5528753541855124,3188507707.484298
CH4,p132,2048,2338318.493931,2.0,4041.0,0.6217214879388445,4289289145.3158574
CH4,p132,2048,2338318.493931,1.5,5043.0,0.6995439195048273,6022884702.889811
CH4,p132,2049,2074785.530932,2.5,3462.0,0.5393905894492803,2828789101.77381
CH4,p132,2049,2074785.530932,2.0,4136.0,0.6095308705282789,3818971149.1693377
CH4,p132,2049,2074785.530932,1.5,5151.0,0.6892058320244606,5377874152.266491
CH4,p132,2050,2074785.530932,2.5,3547.0,0.5262347214139321,2827553491.9873486
CH4,p132,2050,2074785.530932,2.0,4231.0,0.597579284831646,3830087546.0176234
CH4,p132,2050,2074785.530932,1.5,5260.0,0.6790205241620302,5410517263.551435
CH4,p133,2023,392196.907283,2.5,1457.0,1.025,427646096.87985265
CH4,p133,2023,392196.907283,2.0,1874.0,1.02,547357223.3382331
CH4,p133,2023,392196.907283,1.5,2564.0,1.015,745221126.7964184
CH4,p133,2024,392196.907283,2.5,1524.0,1.0,436401326.91289854
CH4,p133,2024,392196.907283,2.0,1950.0,1.0,558387524.5932757
CH4,p133,2024,392196.907283,1.5,2650.0,1.0,758834328.2934259
CH4,p133,2025,159953.418477,2.5,1590.0,0.9756097560975612,181160585.580583
CH4,p133,2025,159953.418477,2.0,2025.0,0.9803921568627452,231854384.29257464
CH4,p133,2025,159953.418477,1.5,2737.0,0.9852216748768474,314919252.5962184
CH4,p133,2026,159953.418477,2.5,1657.0,0.9518143961927424,184189655.0434275
CH4,p133,2026,159953.418477,2.0,2101.0,0.9611687812379854,235839293.82653078
CH4,p133,2026,159953.418477,1.5,2823.0,0.9706617486471404,320014200.6112638
CH4,p133,2027,159953.418477,2.5,1724.0,0.928599410919749,186963195.48691824
CH4,p133,2027,159953.418477,2.0,2176.0,0.9423223345470444,239468741.9466598
CH4,p133,2027,159953.418477,1.5,2910.0,0.9563169937410252,325001465.36587316
CH4,p133,2028,168123.155077,2.5,1791.0,0.9059506447997552,199170304.17313462
CH4,p133,2028,168123.155077,2.0,2252.0,0.9238454260265142,255383104.15783158
CH4,p133,2028,168123.155077,1.5,2996.0,0.9421842302867244,346499093.187992
CH4,p133,2029,168123.155077,2.5,1857.0,0.8838542876095173,201473086.21672648
CH4,p133,2029,168123.155077,2.0,2327.0,0.905730809829916,258714033.4409824
CH4,p133,2029,168123.155077,1.5,3083.0,0.9282603254056396,351291608.61397433
CH4,p133,2030,168123.155077,2.5,1924.0,0.8622968659605048,203650901.86426145
CH4,p133,2030,168123.155077,2.0,2403.0,0.887971382186192,261925150.77002308
CH4,p133,2030,168123.155077,1.5,3169.0,0.914542192517872,355754537.49951994
CH4,p133,2031,150256.24242899998,2.5,2002.0,0.8412652350834192,184767877.55963477
CH4,p133,2031,150256.24242899998,2.0,2490.0,0.8705601786139138,237808623.67745876
CH4,p133,2031,150256.24242899998,1.5,3270.0,0.9010267906580018,323232418.3966585
CH4,p133,2032,150256.24242899998,2.5,2080.0,0.8207465708130922,187284513.20583826
CH4,p133,2032,150256.24242899998,2.0,2578.0,0.8534903711901114,241385397.21257132
CH4,p133,2032,150256.24242899998,1.5,3371.0,0.887711123800987,328291674.54998744
CH4,p133,2033,150256.24242899998,2.5,2157.0,0.8007283617688704,189480626.16556904
CH4,p133,2033,150256.24242899998,2.0,2666.0,0.8367552658726582,244730475.42886075
CH4,p133,2033,150256.24242899998,1.5,3471.0,0.874592240198017,333034854.6244209
CH4,p133,2034,132684.499063,2.5,2235.0,0.7811984017257273,169143765.02171952
CH4,p133,2034,132684.499063,2.0,2754.0,0.8203482998751551,218866522.80231744
CH4,p133,2034,132684.499063,1.5,3572.0,0.8616672317221843,298172885.1570295
CH4,p133,2035,132684.499063,2.5,2313.0,0.7621447821714413,170777335.5138265
CH4,p133,2035,132684.499063,2.0,2842.0,0.8042630390932893,221431450.08479154
CH4,p133,2035,132684.499063,1.5,3673.0,0.848933233223827,302072773.7856479
CH4,p133,2036,132684.499063,2.5,2391.0,0.7435558850453087,172230598.72135615
CH4,p133,2036,132684.499063,2.0,2929.0,0.7884931755816562,223735258.68911508
CH4,p133,2036,132684.499063,1.5,3774.0,0.836387421895396,305792274.14189696
CH4,p133,2037,346495.14315300004,2.5,2468.0,0.7254203756539598,452927810.07852197
CH4,p133,2037,346495.14315300004,2.0,3017.0,0.773032525080055,590020579.0823948
CH4,p133,2037,346495.14315300004,1.5,3875.0,0.8240270166457105,807806307.3454428
CH4,p133,2038,346495.14315300004,2.5,2546.0,0.7077271957599608,455846228.58833724
CH4,p133,2038,346495.14315300004,2.0,3105.0,0.7578750245882894,595323850.4847811
CH4,p133,2038,346495.14315300004,1.5,3975.0,0.8118492774834588,816406819.4369963
CH4,p133,2039,346495.14315300004,2.5,2624.0,0.6904655568389862,458352845.7133321
CH4,p133,2039,346495.14315300004,2.0,3193.0,0.7430147299885189,600192306.7152619
CH4,p133,2039,346495.14315300004,1.5,4076.0,0.7998515049098116,824779055.3087825
CH4,p133,2040,322635.85173,2.5,2702.0,0.67362493350145,428758807.44355226
CH4,p133,2040,322635.85173,2.0,3280.0,0.7284458137142342,562834423.4407718
CH4,p133,2040,322635.85173,1.5,4177.0,0.7880310393200115,775384928.4622679
CH4,p133,2041,322635.85173,2.5,2786.0,0.6571950570745855,431305460.2869552
