RPSCat,i,st,ast,t,Value
CES,can-imports,MI,MI,2038,4906080.093915
CES,can-imports,MI,MI,2041,4168010.831985
CES,can-imports,MI,MI,2044,3692171.307825
CES,can-imports,MI,MI,2047,3304751.695245
CES,can-imports,MI,MI,2050,3063541.936455
CES,can-imports,NY,NY,2026,12581602.418385
CES,can-imports,NY,NY,2029,12987190.012797
CES,can-imports,NY,NY,2032,13989016.01097
CES,can-imports,NY,NY,2035,14067656.932329
CES,can-imports,NY,NY,2038,13588777.411209
CES,can-imports,NY,NY,2041,13109361.890625
CES,can-imports,NY,NY,2044,12701782.798652
CES,can-imports,NY,NY,2047,12440561.107488
CES,can-imports,NY,NY,2050,12260440.333168
CES,can-imports,VT,VT,2026,11108178.458422
CES,can-imports,VT,VT,2029,10887625.456894
CES,can-imports,VT,VT,2032,14128621.526668
CES,can-imports,VT,VT,2035,13976176.43414
CES,can-imports,VT,VT,2038,14508999.322239
CES,can-imports,VT,VT,2041,16952621.595591
CES,can-imports,VT,VT,2044,17267774.824415
CES,can-imports,VT,VT,2047,17652190.033675
CES,can-imports,VT,VT,2050,17979735.273832
CES,can-imports,VT,ME,2026,4535766.675923
CES,can-imports,VT,ME,2029,3586391.966805
CES,can-imports,VT,ME,2032,3965161.163796
CES,can-imports,VT,ME,2035,3385061.225777
CES,can-imports,VT,ME,2038,2797246.963435
CES,can-imports,ME,ME,2026,793887.12772
CES,can-imports,ME,ME,2029,1497287.319945
CES,can-imports,ME,ME,2032,673125.0501
CES,can-imports,ME,ME,2035,660480.14244
CES,can-imports,ME,ME,2038,706771.66404
CES,can-imports,ME,ME,2041,271337.63766
CES,can-imports,ME,ME,2044,718829.49
CES,can-imports,ME,ME,2047,757473.85272
CES,can-imports,ME,ME,2050,778450.33776
CES,distpv,WA,WA,2029,456724.81941
CES,distpv,WA,WA,2032,599584.790085
CES,distpv,WA,WA,2035,677989.40985
CES,distpv,WA,WA,2038,706963.47885
CES,distpv,WA,WA,2041,735101.664795
CES,distpv,WA,WA,2044,766808.745285
CES,distpv,WA,WA,2047,802819.28616
CES,distpv,WA,WA,2050,845493.301455
CES,distpv,OR,OR,2026,488063.95749
CES,distpv,OR,OR,2029,858622.80258
CES,distpv,OR,OR,2032,1476708.359115
CES,distpv,OR,OR,2035,1420552.73346
CES,distpv,OR,OR,2038,1440137.647605
CES,distpv,OR,OR,2041,1461977.653035
CES,distpv,OR,OR,2044,1488906.57828
CES,distpv,OR,OR,2047,1523589.6795
CES,distpv,OR,OR,2050,1565697.312585
CES,distpv,NV,NV,2026,1670869.6425
CES,distpv,NV,NV,2029,1886014.305675
CES,distpv,NV,NV,2032,2165963.073975
CES,distpv,NV,NV,2035,2128549.052025
CES,distpv,NV,NV,2038,2151967.54905
CES,distpv,NV,NV,2041,2186564.760675
CES,distpv,NV,NV,2044,2228876.556075
CES,distpv,NV,NV,2047,2293627.792275
CES,distpv,NV,NV,2050,2371082.934825
CES,distpv,ID,WA,2029,1222063.652115
CES,distpv,ID,WA,2032,1283915.921895
CES,distpv,ID,WA,2035,1200400.238385
CES,distpv,ID,WA,2038,1209583.499265
CES,distpv,ID,WA,2041,1224040.01511
CES,distpv,ID,WA,2044,1241058.569805
CES,distpv,ID,WA,2047,1260049.71609
