RPSCat,i,st,ast,t,Value
RPS_All,can-imports,ME,ME,2047,697564.53448
RPS_All,can-imports,ME,ME,2050,704123.07744
RPS_All,distpv,WA,WA,2026,359325.66414
RPS_All,distpv,WA,WA,2029,424716.050175
RPS_All,distpv,WA,WA,2032,557709.703605
RPS_All,distpv,WA,WA,2035,630106.736835
RPS_All,distpv,WA,WA,2038,656936.063415
RPS_All,distpv,WA,WA,2041,683008.04667
RPS_All,distpv,WA,WA,2044,712333.05954
RPS_All,distpv,WA,WA,2047,745771.870425
RPS_All,distpv,WA,WA,2050,785486.592495
RPS_All,distpv,OR,OR,2026,487258.880085
RPS_All,distpv,OR,OR,2029,857171.11347
RPS_All,distpv,OR,OR,2032,1474171.576395
RPS_All,distpv,OR,OR,2035,1418108.788065
RPS_All,distpv,OR,OR,2038,1437659.201535
RPS_All,distpv,OR,OR,2041,1459459.7319
RPS_All,distpv,OR,OR,2047,1520959.39113
RPS_All,distpv,OR,OR,2050,1562991.29145
RPS_All,distpv,NV,NV,2026,1643781.83745
RPS_All,distpv,NV,NV,2029,1856565.81456
RPS_All,distpv,NV,NV,2032,2133479.88234
RPS_All,distpv,NV,NV,2035,2097527.17965
RPS_All,distpv,NV,NV,2038,2120877.15042
RPS_All,distpv,NV,NV,2041,2155136.2047
RPS_All,distpv,NV,NV,2044,2196957.69693
RPS_All,distpv,NV,NV,2047,2260923.58143
RPS_All,distpv,NV,NV,2050,2337532.46892
RPS_All,distpv,ID,WA,2026,617435.849577
RPS_All,distpv,AZ,AZ,2026,4471455.79701
RPS_All,distpv,AZ,AZ,2029,5138661.93375
RPS_All,distpv,AZ,AZ,2032,5673015.48693
RPS_All,distpv,AZ,AZ,2035,5354206.383525
RPS_All,distpv,AZ,AZ,2038,5378815.50909
RPS_All,distpv,AZ,AZ,2041,5428904.320935
RPS_All,distpv,AZ,AZ,2044,5510010.50928
RPS_All,distpv,AZ,AZ,2047,5647787.482155
RPS_All,distpv,AZ,AZ,2050,5836320.280305
RPS_All,distpv,CO,CO,2026,1847839.106295
RPS_All,distpv,CO,CO,2029,2483422.812105
RPS_All,distpv,CO,CO,2032,3404533.809525
RPS_All,distpv,CO,CO,2035,3742415.05422
RPS_All,distpv,CO,CO,2038,3916887.00687
RPS_All,distpv,CO,CO,2041,4141617.7314
RPS_All,distpv,CO,CO,2044,4402471.613415
RPS_All,distpv,CO,CO,2047,4417934.103165
RPS_All,distpv,CO,CO,2050,4862754.974745
RPS_All,distpv,MN,MN,2026,993183.77361
RPS_All,distpv,MN,MN,2029,1186368.86616
RPS_All,distpv,MN,MN,2032,1437616.74423
RPS_All,distpv,MN,MN,2035,1591866.357435
RPS_All,distpv,MN,MN,2038,1890904.910805
RPS_All,distpv,MN,MN,2041,2265015.74367
RPS_All,distpv,MN,MN,2044,2725519.498065
RPS_All,distpv,MN,MN,2047,3319143.71607
RPS_All,distpv,MN,MN,2050,4018799.198985
RPS_All,distpv,IA,IA,2029,263801.65269
RPS_All,distpv,IA,IA,2032,341492.51532
RPS_All,distpv,IA,IA,2035,383002.279965
RPS_All,distpv,IA,IA,2038,430011.45819
RPS_All,distpv,IA,IA,2041,477582.642735
RPS_All,distpv,IA,IA,2044,526012.82184
RPS_All,distpv,IA,IA,2047,574495.354875
RPS_All,distpv,IA,IA,2050,625611.796635
RPS_All,distpv,WI,WI,2026,198536.48283
RPS_All,distpv,WI,WI,2029,291306.979605
RPS_All,distpv,WI,WI,2032,466927.621905
RPS_All,distpv,WI,WI,2035,666353.9571
RPS_All,distpv,WI,WI,2038,938886.150165
RPS_All,distpv,WI,WI,2041,1278543.098475
RPS_All,distpv,WI,WI,2044,1648842.830115
RPS_All,distpv,WI,WI,2047,2030380.185855
RPS_All,distpv,WI,WI,2050,2409046.806135
RPS_All,distpv,TX,TX,2026,5871864.656085
RPS_All,distpv,TX,TX,2029,10524953.16726
RPS_All,distpv,TX,TX,2032,17524546.38369
RPS_All,distpv,TX,TX,2035,21571723.14582
RPS_All,distpv,TX,TX,2038,23189485.46481
RPS_All,distpv,TX,TX,2041,24659897.920845
RPS_All,distpv,TX,TX,2044,25934240.81358
RPS_All,distpv,TX,TX,2047,27128185.021065
RPS_All,distpv,TX,TX,2050,28386675.441165
RPS_All,distpv,MO,MO,2026,39384.477465
RPS_All,distpv,MO,MO,2029,127337.006205
RPS_All,distpv,MO,MO,2032,313800.43731
RPS_All,distpv,MO,MO,2035,556188.72786
RPS_All,distpv,MO,MO,2038,791196.759015
RPS_All,distpv,MO,MO,2041,1077126.90411
RPS_All,distpv,MO,MO,2044,1466618.471625
RPS_All,distpv,MO,MO,2047,2149128.1653
RPS_All,distpv,MO,MO,2050,3093270.480405
RPS_All,distpv,MI,MI,2026,195645.58419
RPS_All,distpv,MI,MI,2029,211669.545885
RPS_All,distpv,MI,MI,2032,259706.787795
