eall,r,t,Value_emit,dr,Value_scc,dtau,Value
CO2,p12,2047,4803030.921858,1.5,467.0,0.7100370782973997,1162813920.4599848
CO2,p12,2048,4803030.921858,2.5,199.0,0.5528753541855124,385827003.8139346
CO2,p12,2048,4803030.921858,2.0,300.0,0.6217214879388445,654077855.4144499
CO2,p12,2048,4803030.921858,1.5,472.0,0.6995439195048273,1157895318.5243042
CO2,p12,2049,4136126.878304,2.5,202.0,0.5393905894492803,329037591.80986625
CO2,p12,2049,4136126.878304,2.0,304.0,0.6095308705282789,559577279.9328195
CO2,p12,2049,4136126.878304,1.5,477.0,0.6892058320244606,992791627.8230169
CO2,p12,2050,4136126.878304,2.5,205.0,0.5262347214139321,325779793.8711548
CO2,p12,2050,4136126.878304,2.0,308.0,0.597579284831646,555823665.5679451
CO2,p12,2050,4136126.878304,1.5,482.0,0.6790205241620302,988372658.7780652
CO2,p120,2023,38232.326593,2.5,125.0,1.025,3576527.235476452
CO2,p120,2023,38232.326593,2.0,204.0,1.02,5808419.802208314
CO2,p120,2023,38232.326593,1.5,351.0,1.015,9944909.077440143
CO2,p120,2024,38232.326593,2.5,128.0,1.0,3573037.9406125727
CO2,p120,2024,38232.326593,2.0,208.0,1.0,5806186.653495431
CO2,p120,2024,38232.326593,1.5,356.0,1.0,9937511.772328718
CO2,p120,2025,38232.326593,2.5,130.0,0.9756097560975612,3540357.7155459956
CO2,p120,2025,38232.326593,2.0,212.0,0.9803921568627452,5801807.930528995
CO2,p120,2025,38232.326593,1.5,360.0,0.9852216748768474,9900659.318199864
CO2,p120,2026,38232.326593,2.5,133.0,0.9518143961927424,3533715.393377991
CO2,p120,2026,38232.326593,2.0,215.0,0.9611687812379854,5768538.22171538
CO2,p120,2026,38232.326593,1.5,365.0,0.9706617486471404,9889821.158026684
CO2,p120,2027,38232.326593,2.5,136.0,0.928599410919749,3525290.9847746696
CO2,p120,2027,38232.326593,2.0,219.0,0.9423223345470444,5760646.92455845
CO2,p120,2027,38232.326593,1.5,370.0,0.9563169937410252,9877141.044523582
CO2,p120,2028,38232.326593,2.5,139.0,0.9059506447997552,3515175.3721928205
CO2,p120,2028,38232.326593,2.0,223.0,0.9238454260265142,5750847.274494289
CO2,p120,2028,38232.326593,1.5,375.0,0.9421842302867244,9862675.786703086
CO2,p120,2029,38232.326593,2.5,141.0,0.8838542876095173,3478783.839123971
CO2,p120,2029,38232.326593,2.0,226.0,0.905730809829916,5713934.2479368225
CO2,p120,2029,38232.326593,1.5,380.0,0.9282603254056396,9846480.916774178
CO2,p120,2030,38232.326593,2.5,144.0,0.8622968659605048,3466146.845416722
CO2,p120,2030,38232.326593,2.0,230.0,0.887971382186192,5701044.928966982
CO2,p120,2030,38232.326593,1.5,384.0,0.914542192517872,9803081.856472094
CO2,p120,2031,38649.092926,2.5,147.0,0.8412652350834192,3489687.30438939
CO2,p120,2031,38649.092926,2.0,234.0,0.8705601786139138,5748451.76471545
CO2,p120,2031,38649.092926,1.5,389.0,0.9010267906580018,9890620.582211103
CO2,p120,2032,38649.092926,2.5,150.0,0.8207465708130922,3474054.061114377
CO2,p120,2032,38649.092926,2.0,237.0,0.8534903711901114,5707990.063003023
CO2,p120,2032,38649.092926,1.5,394.0,0.887711123800987,9869703.824106714
CO2,p120,2033,38649.092926,2.5,153.0,0.8007283617688704,3457107.4559382084
CO2,p120,2033,38649.092926,2.0,241.0,0.8367552658726582,5690517.105914323
CO2,p120,2033,38649.092926,1.5,398.0,0.874592240198017,9822565.382197175
CO2,p120,2034,38719.080924,2.5,155.0,0.7811984017257273,3423063.9670659536
CO2,p120,2034,38719.080924,2.0,245.0,0.8203482998751551,5681805.167201417
CO2,p120,2034,38719.080924,1.5,403.0,0.8616672317221843,9816724.30407458
CO2,p120,2035,38719.080924,2.5,158.0,0.7621447821714413,3404211.5297965114
CO2,p120,2035,38719.080924,2.0,248.0,0.8042630390932893,5638606.168331139
CO2,p120,2035,38719.080924,1.5,408.0,0.848933233223827,9791645.212782038
CO2,p120,2036,38719.080924,2.5,161.0,0.7435558850453087,3384242.3976365444
CO2,p120,2036,38719.080924,2.0,252.0,0.7884931755816562,5617207.283441835
CO2,p120,2036,38719.080924,1.5,412.0,0.836387421895396,9741518.950222641
CO2,p120,2037,41314.078859,2.5,164.0,0.7254203756539598,3588629.33450326
CO2,p120,2037,41314.078859,2.0,256.0,0.773032525080055,5969428.260759973
CO2,p120,2037,41314.078859,1.5,417.0,0.8240270166457105,10365076.47288464
CO2,p120,2038,41314.078859,2.5,167.0,0.7077271957599608,3565146.3346938994
CO2,p120,2038,41314.078859,2.0,259.0,0.7578750245882894,5920963.233520349
CO2,p120,2038,41314.078859,1.5,422.0,0.8118492774834588,10334342.823019974
CO2,p120,2039,41314.078859,2.5,170.0,0.6904655568389862,3540674.028905874
CO2,p120,2039,41314.078859,2.0,263.0,0.7430147299885189,5894516.354061062
CO2,p120,2039,41314.078859,1.5,426.0,0.7998515049098116,10278126.777499843
CO2,p120,2040,43439.752206,2.5,173.0,0.67362493350145,3696140.9708123943
CO2,p120,2040,43439.752206,2.0,267.0,0.7284458137142342,6168687.689249841
CO2,p120,2040,43439.752206,1.5,431.0,0.7880310393200115,10772211.313253257
CO2,p120,2041,43439.752206,2.5,176.0,0.6571950570745855,3668522.8301874036
CO2,p120,2041,43439.752206,2.0,271.0,0.7141625624649355,6138335.770678954
CO2,p120,2041,43439.752206,1.5,436.0,0.7763852604138046,10736136.908274768
CO2,p120,2042,43439.752206,2.5,179.0,0.641165909341059,3640053.1408178783
CO2,p120,2042,43439.752206,2.0,275.0,0.700159374965623,6106802.463413329
CO2,p120,2042,43439.752206,1.5,441.0,0.7649115866145859,10698776.102836294
CO2,p120,2043,45479.048032,2.5,182.0,0.6255277164303016,3780299.7864630646
CO2,p120,2043,45479.048032,2.0,279.0,0.6864307597702186,6359298.868092247
CO2,p120,2043,45479.048032,1.5,446.0,0.7536074744971291,11160620.791157922
CO2,p120,2044,45479.048032,2.5,186.0,0.6102709428588309,3769154.437320451
CO2,p120,2044,45479.048032,2.0,283.0,0.6729713331080575,6323991.776196872
CO2,p120,2044,45479.048032,1.5,451.0,0.7424704182237725,11118955.525441743
CO2,p120,2045,45479.048032,2.5,189.0,0.5953862857159326,3736533.9032445066
CO2,p120,2045,45479.048032,2.0,287.0,0.6597758167726053,6287624.332323504
CO2,p120,2045,45479.048032,1.5,456.0,0.7314979489889384,11076084.278180802
CO2,p120,2046,46055.144202,2.5,192.0,0.5808646689911537,3750172.69410563
CO2,p120,2046,46055.144202,2.0,291.0,0.6468390360515739,6329425.427565652
CO2,p120,2046,46055.144202,1.5,462.0,0.7206876344718607,11196031.799034975
CO2,p120,2047,46055.144202,2.5,195.0,0.56669723804015,3715872.3340985663
CO2,p120,2047,46055.144202,2.0,296.0,0.6341559176976214,6311939.6488088155
CO2,p120,2047,46055.144202,1.5,467.0,0.7100370782973997,11149951.698866215
CO2,p120,2048,46055.144202,2.5,199.0,0.5528753541855124,3699605.225694134
CO2,p120,2048,46055.144202,2.0,300.0,0.6217214879388445,6271800.1279896805
CO2,p120,2048,46055.144202,1.5,472.0,0.6995439195048273,11102788.371145563
CO2,p120,2049,46055.144202,2.5,202.0,0.5393905894492803,3663783.5793122435
CO2,p120,2049,46055.144202,2.0,304.0,0.6095308705282789,6230807.970290402
CO2,p120,2049,46055.144202,1.5,477.0,0.6892058320244606,11054583.896293804
CO2,p120,2050,46055.144202,2.5,205.0,0.5262347214139321,3627508.4943685583
CO2,p120,2050,46055.144202,2.0,308.0,0.597579284831646,6189012.044793099
CO2,p120,2050,46055.144202,1.5,482.0,0.6790205241620302,11005379.347551122
CO2,p121,2023,339317.224692,2.5,125.0,1.025,31742177.464015916
CO2,p121,2023,339317.224692,2.0,204.0,1.02,51550534.92068241
CO2,p121,2023,339317.224692,1.5,351.0,1.015,88262453.49633272
CO2,p121,2024,339317.224692,2.5,128.0,1.0,31711209.486002244
CO2,p121,2024,339317.224692,2.0,208.0,1.0,51530715.414753646
CO2,p121,2024,339317.224692,1.5,356.0,1.0,88196801.38294373
CO2,p121,2025,112984.361131,2.5,130.0,0.9756097560975612,10462482.676620793
CO2,p121,2025,112984.361131,2.0,212.0,0.9803921568627452,17145531.565834824
CO2,p121,2025,112984.361131,1.5,360.0,0.9852216748768474,29258477.51173226
CO2,p121,2026,112984.361131,2.5,133.0,0.9518143961927424,10442853.253212497
CO2,p121,2026,112984.361131,2.0,215.0,0.9611687812379854,17047212.75737369
CO2,p121,2026,112984.361131,1.5,365.0,0.9706617486471404,29226448.527045086
CO2,p121,2027,112984.361131,2.5,136.0,0.928599410919749,10417957.399133686
CO2,p121,2027,112984.361131,2.0,219.0,0.9423223345470444,17023892.356884807
CO2,p121,2027,112984.361131,1.5,370.0,0.9563169937410252,29188976.1927436
CO2,p121,2028,106340.75810199999,2.5,139.0,0.9059506447997552,9777234.274016302
CO2,p121,2028,106340.75810199999,2.0,223.0,0.9238454260265142,15995611.917860957
CO2,p121,2028,106340.75810199999,1.5,375.0,0.9421842302867244,27432398.536380783
CO2,p121,2029,106340.75810199999,2.5,141.0,0.8838542876095173,9676013.564739771
CO2,p121,2029,106340.75810199999,2.0,226.0,0.905730809829916,15892940.707977565
CO2,p121,2029,106340.75810199999,1.5,380.0,0.9282603254056396,27387353.546994273
CO2,p121,2030,106340.75810199999,2.5,144.0,0.8622968659605048,9640864.579294428
CO2,p121,2030,106340.75810199999,2.0,230.0,0.887971382186192,15857089.896038689
CO2,p121,2030,106340.75810199999,1.5,384.0,0.914542192517872,27266641.851298437
CO2,p121,2031,106340.75810199999,2.5,147.0,0.8412652350834192,9601674.07287453
CO2,p121,2031,106340.75810199999,2.0,234.0,0.8705601786139138,15816534.678913275
