eall,r,t,Value_emit,dr,Value_scc,dtau,Value
CO2,p117,2044,16009565.959941998,1.5,451.0,0.7424704182237725,3914102418.436064
CO2,p117,2045,16009565.959941998,2.5,189.0,0.5953862857159326,1315337250.3193486
CO2,p117,2045,16009565.959941998,2.0,287.0,0.6597758167726053,2213373868.5304365
CO2,p117,2045,16009565.959941998,1.5,456.0,0.7314979489889384,3899010852.308161
CO2,p117,2046,13504174.317715,2.5,192.0,0.5808646689911537,1099616267.8508794
CO2,p117,2046,13504174.317715,2.0,291.0,0.6468390360515739,1855898310.2936969
CO2,p117,2046,13504174.317715,1.5,462.0,0.7206876344718607,3282872471.698457
CO2,p117,2047,13504174.317715,2.5,195.0,0.56669723804015,1089558801.9863899
CO2,p117,2047,13504174.317715,2.0,296.0,0.6341559176976214,1850771173.9334755
CO2,p117,2047,13504174.317715,1.5,467.0,0.7100370782973997,3269360979.8545175
CO2,p117,2048,13504174.317715,2.5,199.0,0.5528753541855124,1084789001.1021469
CO2,p117,2048,13504174.317715,2.0,300.0,0.6217214879388445,1839001563.9243598
CO2,p117,2048,13504174.317715,1.5,472.0,0.6995439195048273,3255531866.7341747
CO2,p117,2049,9633159.797582,2.5,202.0,0.5393905894492803,766338121.2850292
CO2,p117,2049,9633159.797582,2.0,304.0,0.6095308705282789,1303271760.1011975
CO2,p117,2049,9633159.797582,1.5,477.0,0.6892058320244606,2312240576.2470803
CO2,p117,2050,9633159.797582,2.5,205.0,0.5262347214139321,758750615.1336924
CO2,p117,2050,9633159.797582,2.0,308.0,0.597579284831646,1294529483.072655
CO2,p117,2050,9633159.797582,1.5,482.0,0.6790205241620302,2301948668.816996
CO2,p118,2023,4348308.221381,2.5,125.0,1.025,406772073.9983092
CO2,p118,2023,4348308.221381,2.0,204.0,1.02,660613722.2054101
CO2,p118,2023,4348308.221381,1.5,351.0,1.015,1131072413.2137177
CO2,p118,2024,4348308.221381,2.5,128.0,1.0,406375223.19440836
CO2,p118,2024,4348308.221381,2.0,208.0,1.0,660359737.6909136
CO2,p118,2024,4348308.221381,1.5,356.0,1.0,1130231089.509448
CO2,p118,2025,357061.28047600004,2.5,130.0,0.9756097560975612,33064288.049040403
CO2,p118,2025,357061.28047600004,2.0,212.0,0.9803921568627452,54184538.40917404
CO2,p118,2025,357061.28047600004,1.5,360.0,0.9852216748768474,92464738.84119672
CO2,p118,2026,357061.28047600004,2.5,133.0,0.9518143961927424,33002253.737503733
CO2,p118,2026,357061.28047600004,2.0,215.0,0.9611687812379854,53873824.25995384
CO2,p118,2026,357061.28047600004,1.5,365.0,0.9706617486471404,92363518.54689875
CO2,p118,2027,357061.28047600004,2.5,136.0,0.928599410919749,32923576.074091394
CO2,p118,2027,357061.28047600004,2.0,219.0,0.9423223345470444,53800125.457956634
CO2,p118,2027,357061.28047600004,1.5,370.0,0.9563169937410252,92245095.78879155
CO2,p118,2028,323086.002208,2.5,139.0,0.9059506447997552,29705332.091134995
CO2,p118,2028,323086.002208,2.0,223.0,0.9238454260265142,48598095.40247335
CO2,p118,2028,323086.002208,1.5,375.0,0.9421842302867244,83345503.00642598
